round,player 0 bankroll,house 0 bank
1,996.25,1003.75
2,992.5,1007.5
3,988.75,1011.25
4,985.0,1015.0
5,985.0,1015.0
6,1000.0,1000.0
7,1000.0,1000.0
8,1015.0,985.0
9,1015.0,985.0
10,1011.25,988.75
11,1007.5,992.5
12,1003.75,996.25
13,1000.0,1000.0
14,1000.0,1000.0
15,996.25,1003.75
16,996.25,1003.75
17,992.5,1007.5
18,988.75,1011.25
19,1003.75,996.25
20,1003.75,996.25
21,1003.75,996.25
22,1003.75,996.25
23,1000.0,1000.0
24,996.25,1003.75
25,992.5,1007.5
26,988.75,1011.25
27,988.75,1011.25
28,985.0,1015.0
29,981.25,1018.75
30,977.5,1022.5
31,977.5,1022.5
32,973.75,1026.25
33,970.0,1030.0
34,966.25,1033.75
35,966.25,1033.75
36,962.5,1037.5
37,958.75,1041.25
38,955.0,1045.0
39,951.25,1048.75
40,951.25,1048.75
41,947.5,1052.5
42,943.75,1056.25
43,940.0,1060.0
44,936.25,1063.75
45,932.5,1067.5
46,928.75,1071.25
47,925.0,1075.0
48,940.0,1060.0
49,940.0,1060.0
50,936.25,1063.75
51,932.5,1067.5
52,928.75,1071.25
53,943.75,1056.25
54,943.75,1056.25
55,940.0,1060.0
56,936.25,1063.75
57,936.25,1063.75
58,932.5,1067.5
59,932.5,1067.5
60,932.5,1067.5
61,928.75,1071.25
62,983.75,1016.25
63,980.0,1020.0
64,976.25,1023.75
65,972.5,1027.5
66,987.5,1012.5
67,987.5,1012.5
68,1002.5,997.5
69,998.75,1001.25
70,998.75,1001.25
71,998.75,1001.25
72,995.0,1005.0
73,991.25,1008.75
74,991.25,1008.75
75,991.25,1008.75
76,987.5,1012.5
77,983.75,1016.25
78,998.75,1001.25
79,1013.75,986.25
80,1010.0,990.0
81,1006.25,993.75
82,1002.5,997.5
83,1002.5,997.5
84,998.75,1001.25
85,995.0,1005.0
86,991.25,1008.75
87,987.5,1012.5
88,983.75,1016.25
89,980.0,1020.0
90,980.0,1020.0
91,976.25,1023.75
92,972.5,1027.5
93,968.75,1031.25
94,983.75,1016.25
95,983.75,1016.25
96,983.75,1016.25
97,980.0,1020.0
98,976.25,1023.75
99,972.5,1027.5
100,972.5,1027.5
101,972.5,1027.5
102,968.75,1031.25
103,965.0,1035.0
104,961.25,1038.75
105,957.5,1042.5
106,957.5,1042.5
107,953.75,1046.25
108,953.75,1046.25
109,950.0,1050.0
110,946.25,1053.75
111,961.25,1038.75
112,957.5,1042.5
113,957.5,1042.5
114,953.75,1046.25
115,953.75,1046.25
116,950.0,1050.0
117,950.0,1050.0
118,946.25,1053.75
119,946.25,1053.75
120,942.5,1057.5
121,938.75,1061.25
122,938.75,1061.25
123,938.75,1061.25
124,935.0,1065.0
125,935.0,1065.0
126,950.0,1050.0
127,950.0,1050.0
128,946.25,1053.75
129,942.5,1057.5
130,938.75,1061.25
131,938.75,1061.25
132,935.0,1065.0
133,935.0,1065.0
134,931.25,1068.75
135,931.25,1068.75
136,931.25,1068.75
137,927.5,1072.5
138,942.5,1057.5
139,938.75,1061.25
140,938.75,1061.25
141,935.0,1065.0
142,931.25,1068.75
143,931.25,1068.75
144,927.5,1072.5
145,927.5,1072.5
146,927.5,1072.5
147,923.75,1076.25
148,920.0,1080.0
149,916.25,1083.75
150,912.5,1087.5
151,908.75,1091.25
152,905.0,1095.0
153,901.25,1098.75
154,897.5,1102.5
155,893.75,1106.25
156,890.0,1110.0
157,886.25,1113.75
158,886.25,1113.75
159,886.25,1113.75
160,886.25,1113.75
161,886.25,1113.75
162,882.5,1117.5
163,882.5,1117.5
164,878.75,1121.25
165,878.75,1121.25
166,875.0,1125.0
167,875.0,1125.0
168,871.25,1128.75
169,867.5,1132.5
170,863.75,1136.25
171,860.0,1140.0
172,856.25,1143.75
173,856.25,1143.75
174,856.25,1143.75
175,852.5,1147.5
176,848.75,1151.25
177,845.0,1155.0
178,841.25,1158.75
179,856.25,1143.75
180,852.5,1147.5
181,848.75,1151.25
182,845.0,1155.0
183,845.0,1155.0
184,841.25,1158.75
185,837.5,1162.5
186,833.75,1166.25
187,833.75,1166.25
188,830.0,1170.0
189,826.25,1173.75
190,822.5,1177.5
191,822.5,1177.5
192,822.5,1177.5
193,818.75,1181.25
194,815.0,1185.0
195,811.25,1188.75
196,807.5,1192.5
197,803.75,1196.25
198,800.0,1200.0
199,796.25,1203.75
200,811.25,1188.75
201,811.25,1188.75
202,807.5,1192.5
203,803.75,1196.25
204,800.0,1200.0
205,796.25,1203.75
206,792.5,1207.5
207,788.75,1211.25
208,785.0,1215.0
209,785.0,1215.0
210,781.25,1218.75
211,777.5,1222.5
212,773.75,1226.25
213,773.75,1226.25
214,773.75,1226.25
215,770.0,1230.0
216,770.0,1230.0
217,785.0,1215.0
218,785.0,1215.0
219,800.0,1200.0
220,796.25,1203.75
221,796.25,1203.75
222,792.5,1207.5
223,792.5,1207.5
224,788.75,1211.25
225,785.0,1215.0
226,785.0,1215.0
227,785.0,1215.0
228,781.25,1218.75
229,777.5,1222.5
230,773.75,1226.25
231,770.0,1230.0
232,766.25,1233.75
233,762.5,1237.5
234,762.5,1237.5
235,758.75,1241.25
236,758.75,1241.25
237,755.0,1245.0
238,755.0,1245.0
239,755.0,1245.0
240,755.0,1245.0
241,751.25,1248.75
