round,player 0 bankroll,house 0 bank
1,1000,1000
2,996.25,1003.75
3,992.5,1007.5
4,988.75,1011.25
5,985.0,1015.0
6,985.0,1015.0
7,981.25,1018.75
8,977.5,1022.5
9,973.75,1026.25
10,970.0,1030.0
11,966.25,1033.75
12,966.25,1033.75
13,966.25,1033.75
14,962.5,1037.5
15,962.5,1037.5
16,958.75,1041.25
17,955.0,1045.0
18,951.25,1048.75
19,951.25,1048.75
20,947.5,1052.5
21,943.75,1056.25
22,943.75,1056.25
23,940.0,1060.0
24,936.25,1063.75
25,932.5,1067.5
26,932.5,1067.5
27,928.75,1071.25
28,925.0,1075.0
29,921.25,1078.75
30,917.5,1082.5
31,913.75,1086.25
32,910.0,1090.0
33,906.25,1093.75
34,906.25,1093.75
35,906.25,1093.75
36,902.5,1097.5
37,902.5,1097.5
38,898.75,1101.25
39,895.0,1105.0
40,895.0,1105.0
41,891.25,1108.75
42,906.25,1093.75
43,921.25,1078.75
44,921.25,1078.75
45,921.25,1078.75
46,917.5,1082.5
47,913.75,1086.25
48,910.0,1090.0
49,906.25,1093.75
50,902.5,1097.5
51,898.75,1101.25
52,898.75,1101.25
53,895.0,1105.0
54,891.25,1108.75
55,887.5,1112.5
56,902.5,1097.5
57,917.5,1082.5
58,913.75,1086.25
59,910.0,1090.0
60,910.0,1090.0
61,910.0,1090.0
62,906.25,1093.75
63,902.5,1097.5
64,902.5,1097.5
65,902.5,1097.5
66,898.75,1101.25
67,898.75,1101.25
68,913.75,1086.25
69,910.0,1090.0
70,910.0,1090.0
71,906.25,1093.75
72,961.25,1038.75
73,957.5,1042.5
74,957.5,1042.5
75,957.5,1042.5
76,953.75,1046.25
77,953.75,1046.25
78,950.0,1050.0
79,946.25,1053.75
80,942.5,1057.5
81,938.75,1061.25
82,935.0,1065.0
83,931.25,1068.75
84,986.25,1013.75
85,986.25,1013.75
86,986.25,1013.75
87,982.5,1017.5
88,978.75,1021.25
89,975.0,1025.0
90,971.25,1028.75
91,971.25,1028.75
92,971.25,1028.75
93,971.25,1028.75
94,967.5,1032.5
95,963.75,1036.25
96,960.0,1040.0
97,960.0,1040.0
98,956.25,1043.75
99,956.25,1043.75
100,952.5,1047.5
101,952.5,1047.5
102,952.5,1047.5
103,952.5,1047.5
104,948.75,1051.25
105,945.0,1055.0
106,960.0,1040.0
107,975.0,1025.0
108,975.0,1025.0
109,975.0,1025.0
110,975.0,1025.0
111,975.0,1025.0
112,975.0,1025.0
113,971.25,1028.75
114,971.25,1028.75
115,967.5,1032.5
116,967.5,1032.5
117,967.5,1032.5
118,963.75,1036.25
119,978.75,1021.25
120,978.75,1021.25
121,975.0,1025.0
122,971.25,1028.75
123,967.5,1032.5
124,963.75,1036.25
125,960.0,1040.0
126,956.25,1043.75
127,952.5,1047.5
128,948.75,1051.25
129,948.75,1051.25
130,963.75,1036.25
131,960.0,1040.0
132,960.0,1040.0
133,960.0,1040.0
134,956.25,1043.75
135,952.5,1047.5
136,952.5,1047.5
137,948.75,1051.25
138,945.0,1055.0
139,941.25,1058.75
140,941.25,1058.75
141,941.25,1058.75
142,937.5,1062.5
143,933.75,1066.25
144,933.75,1066.25
145,930.0,1070.0
146,926.25,1073.75
147,926.25,1073.75
148,926.25,1073.75
149,981.25,1018.75
150,977.5,1022.5
151,973.75,1026.25
152,1028.75,971.25
153,1028.75,971.25
154,1025.0,975.0
155,1025.0,975.0
156,1021.25,978.75
157,1017.5,982.5
158,1017.5,982.5
159,1017.5,982.5
160,1017.5,982.5
161,1017.5,982.5
162,1017.5,982.5
163,1013.75,986.25
164,1010.0,990.0
165,1006.25,993.75
166,1002.5,997.5
167,998.75,1001.25
168,995.0,1005.0
169,991.25,1008.75
170,1006.25,993.75
171,1002.5,997.5
172,1002.5,997.5
173,998.75,1001.25
174,995.0,1005.0
175,991.25,1008.75
176,987.5,1012.5
177,983.75,1016.25
178,980.0,1020.0
179,976.25,1023.75
180,972.5,1027.5
181,968.75,1031.25
182,968.75,1031.25
183,965.0,1035.0
184,961.25,1038.75
185,957.5,1042.5
186,957.5,1042.5
187,953.75,1046.25
188,950.0,1050.0
189,950.0,1050.0
190,950.0,1050.0
191,946.25,1053.75
192,946.25,1053.75
193,942.5,1057.5
194,938.75,1061.25
195,935.0,1065.0
196,935.0,1065.0
197,935.0,1065.0
198,935.0,1065.0
199,950.0,1050.0
200,950.0,1050.0
201,946.25,1053.75
202,942.5,1057.5
203,938.75,1061.25
204,935.0,1065.0
205,931.25,1068.75
206,927.5,1072.5
207,927.5,1072.5
208,927.5,1072.5
209,942.5,1057.5
210,957.5,1042.5
211,953.75,1046.25
212,950.0,1050.0
213,950.0,1050.0
214,946.25,1053.75
215,942.5,1057.5
216,938.75,1061.25
217,935.0,1065.0
218,931.25,1068.75
219,927.5,1072.5
220,927.5,1072.5
221,927.5,1072.5
222,927.5,1072.5
223,923.75,1076.25
224,923.75,1076.25
225,920.0,1080.0
226,920.0,1080.0
227,920.0,1080.0
228,916.25,1083.75
229,912.5,1087.5
230,908.75,1091.25
231,905.0,1095.0
232,901.25,1098.75
233,956.25,1043.75
234,952.5,1047.5
235,948.75,1051.25
236,948.75,1051.25
237,945.0,1055.0
238,941.25,1058.75
239,941.25,1058.75
240,941.25,1058.75
241,937.5,1062.5
