round,player 0 bankroll,player 1 bankroll,player 2 bankroll
1,999.25,999.25,1003
2,998.5,998.5,1003
3,997.75,998.5,1003
4,997.0,998.5,1002.25
5,996.25,998.5,1002.25
6,999.25,997.75,1005.25
7,998.5,997.0,1004.5
8,1001.5,997.0,1003.75
9,1000.75,996.25,1003.0
10,1000.0,996.25,1002.25
11,1000.0,995.5,1001.5
12,999.25,994.75,1001.5
13,999.25,994.75,1001.5
14,999.25,994.0,1000.75
15,998.5,994.0,1000.0
16,997.75,993.25,1000.0
17,997.0,992.5,999.25
18,997.0,991.75,998.5
19,996.25,991.75,997.75
20,995.5,991.0,997.0
21,994.75,990.25,996.25
22,994.75,989.5,995.5
23,994.75,988.75,995.5
24,994.75,988.0,994.75
25,994.75,988.0,994.75
26,994.0,987.25,994.0
27,993.25,986.5,993.25
28,993.25,986.5,993.25
29,992.5,986.5,992.5
30,992.5,985.75,991.75
31,991.75,985.0,991.0
32,991.0,984.25,990.25
33,990.25,984.25,990.25
34,989.5,983.5,989.5
35,988.75,982.75,988.75
36,988.0,982.0,988.75
37,988.0,981.25,991.75
38,987.25,980.5,991.75
39,986.5,979.75,994.75
40,986.5,979.0,994.0
41,985.75,978.25,994.0
42,985.0,977.5,1005.0
43,985.0,977.5,1004.25
44,984.25,977.5,1007.25
45,983.5,977.5,1007.25
46,982.75,980.5,1006.5
47,982.75,979.75,1006.5
48,985.75,979.0,1005.75
49,985.0,979.0,1005.0
50,984.25,978.25,1004.25
51,983.5,977.5,1004.25
52,982.75,977.5,1004.25
53,982.0,977.5,1003.5
54,985.0,976.75,1006.5
55,984.25,976.75,1006.5
56,984.25,976.75,1005.75
57,983.5,976.0,1005.75
58,986.5,975.25,1005.75
59,986.5,974.5,1005.75
60,989.5,973.75,1008.75
61,988.75,973.0,1011.75
62,988.0,973.0,1011.75
63,987.25,973.0,1011.75
64,990.25,973.0,1011.0
65,990.25,973.0,1010.25
66,990.25,973.0,1009.5
67,989.5,976.0,1008.75
68,988.75,979.0,1008.0
69,988.0,978.25,1008.0
70,987.25,977.5,1007.25
71,986.5,976.75,1006.5
72,986.5,976.0,1005.75
73,985.75,975.25,1005.75
74,985.0,974.5,1005.75
75,984.25,974.5,1005.0
76,983.5,973.75,1005.0
77,983.5,973.0,1004.25
78,982.75,973.0,1004.25
79,982.0,972.25,1003.5
80,981.25,971.5,1002.75
81,981.25,970.75,1002.75
82,980.5,970.0,1002.0
83,979.75,969.25,1001.25
84,979.75,968.5,1001.25
85,979.0,967.75,1000.5
86,978.25,967.0,999.75
87,978.25,967.0,999.75
88,978.25,966.25,999.0
89,978.25,966.25,999.0
90,977.5,965.5,1002.0
91,977.5,965.5,1001.25
92,980.5,964.75,1000.5
93,979.75,964.0,1003.5
94,979.75,964.0,1003.5
95,979.0,963.25,1006.5
96,982.0,962.5,1005.75
97,981.25,961.75,1005.0
98,980.5,961.0,1008.0
99,983.5,960.25,1007.25
100,994.5,959.5,1006.5
101,994.5,958.75,1005.75
102,994.5,958.0,1008.75
103,994.5,957.25,1008.75
104,994.5,956.5,1008.0
105,997.5,955.75,1008.0
106,1000.5,958.75,1007.25
107,999.75,958.0,1006.5
108,999.75,957.25,1006.5
109,999.0,957.25,1006.5
110,998.25,956.5,1009.5
111,997.5,959.5,1008.75
112,996.75,958.75,1008.75
113,996.0,958.75,1008.75
114,995.25,958.0,1008.0
115,994.5,961.0,1011.0
116,994.5,961.0,1011.0
117,993.75,960.25,1010.25
118,993.0,959.5,1010.25
119,993.0,959.5,1009.5
120,992.25,962.5,1008.75
121,992.25,961.75,1008.0
122,991.5,961.75,1008.0
123,991.5,961.0,1007.25
124,990.75,964.0,1006.5
125,993.75,963.25,1006.5
126,993.75,963.25,1006.5
127,993.75,962.5,1005.75
128,993.0,962.5,1005.75
129,992.25,961.75,1005.0
130,992.25,961.75,1004.25
131,992.25,961.0,1003.5
132,991.5,961.0,1002.75
133,990.75,960.25,1002.75
134,990.75,960.25,1002.0
135,990.75,959.5,1002.0
136,990.75,958.75,1001.25
137,990.0,958.0,1000.5
138,990.0,957.25,999.75
139,989.25,956.5,999.0
140,988.5,955.75,999.0
141,991.5,955.0,998.25
142,990.75,955.0,997.5
143,990.75,954.25,997.5
144,993.75,957.25,996.75
145,993.0,957.25,996.0
146,992.25,957.25,996.0
147,991.5,957.25,995.25
148,990.75,957.25,995.25
149,990.0,956.5,995.25
150,990.0,956.5,994.5
151,990.0,956.5,993.75
152,989.25,956.5,993.0
153,988.5,955.75,992.25
154,987.75,955.0,992.25
155,987.0,955.0,991.5
156,987.0,954.25,991.5
157,987.0,954.25,990.75
158,986.25,954.25,990.75
159,985.5,953.5,990.75
160,984.75,952.75,990.0
161,984.75,952.75,989.25
162,984.75,952.0,989.25
