round,player 0 bankroll,house 0 bank
1,1000,1000
2,996.25,1003.75
3,992.5,1007.5
4,1007.5,992.5
5,1007.5,992.5
6,1007.5,992.5
7,1007.5,992.5
8,1003.75,996.25
9,1003.75,996.25
10,1000.0,1000.0
11,996.25,1003.75
12,992.5,1007.5
13,1007.5,992.5
14,1007.5,992.5
15,1003.75,996.25
16,1000.0,1000.0
17,996.25,1003.75
18,996.25,1003.75
19,996.25,1003.75
20,992.5,1007.5
21,992.5,1007.5
22,988.75,1011.25
23,988.75,1011.25
24,985.0,1015.0
25,985.0,1015.0
26,981.25,1018.75
27,977.5,1022.5
28,977.5,1022.5
29,973.75,1026.25
30,973.75,1026.25
31,973.75,1026.25
32,988.75,1011.25
33,988.75,1011.25
34,985.0,1015.0
35,981.25,1018.75
36,977.5,1022.5
37,973.75,1026.25
38,970.0,1030.0
39,970.0,1030.0
40,966.25,1033.75
41,962.5,1037.5
42,962.5,1037.5
43,962.5,1037.5
44,977.5,1022.5
45,977.5,1022.5
46,973.75,1026.25
47,970.0,1030.0
48,970.0,1030.0
49,966.25,1033.75
50,962.5,1037.5
51,958.75,1041.25
52,958.75,1041.25
53,973.75,1026.25
54,973.75,1026.25
55,970.0,1030.0
56,985.0,1015.0
57,981.25,1018.75
58,977.5,1022.5
59,977.5,1022.5
60,977.5,1022.5
61,973.75,1026.25
62,970.0,1030.0
63,966.25,1033.75
64,962.5,1037.5
65,962.5,1037.5
66,977.5,1022.5
67,977.5,1022.5
68,973.75,1026.25
69,970.0,1030.0
70,966.25,1033.75
71,962.5,1037.5
72,958.75,1041.25
73,955.0,1045.0
74,951.25,1048.75
75,951.25,1048.75
76,951.25,1048.75
77,966.25,1033.75
78,962.5,1037.5
79,958.75,1041.25
80,958.75,1041.25
81,958.75,1041.25
82,955.0,1045.0
83,970.0,1030.0
84,970.0,1030.0
85,966.25,1033.75
86,966.25,1033.75
87,962.5,1037.5
88,958.75,1041.25
89,955.0,1045.0
90,951.25,1048.75
91,947.5,1052.5
92,943.75,1056.25
93,943.75,1056.25
94,940.0,1060.0
95,936.25,1063.75
96,932.5,1067.5
97,928.75,1071.25
98,925.0,1075.0
99,921.25,1078.75
100,936.25,1063.75
101,936.25,1063.75
102,936.25,1063.75
103,932.5,1067.5
104,932.5,1067.5
105,928.75,1071.25
106,925.0,1075.0
107,921.25,1078.75
108,921.25,1078.75
109,921.25,1078.75
110,917.5,1082.5
111,917.5,1082.5
112,913.75,1086.25
113,910.0,1090.0
114,906.25,1093.75
115,921.25,1078.75
116,917.5,1082.5
117,917.5,1082.5
118,917.5,1082.5
119,913.75,1086.25
120,928.75,1071.25
121,928.75,1071.25
122,925.0,1075.0
123,925.0,1075.0
124,921.25,1078.75
125,917.5,1082.5
126,913.75,1086.25
127,913.75,1086.25
128,910.0,1090.0
129,906.25,1093.75
130,906.25,1093.75
131,902.5,1097.5
132,902.5,1097.5
133,902.5,1097.5
134,898.75,1101.25
135,898.75,1101.25
136,898.75,1101.25
137,895.0,1105.0
138,891.25,1108.75
139,887.5,1112.5
140,883.75,1116.25
141,880.0,1120.0
142,876.25,1123.75
143,872.5,1127.5
144,868.75,1131.25
145,865.0,1135.0
146,861.25,1138.75
147,857.5,1142.5
148,857.5,1142.5
149,857.5,1142.5
150,872.5,1127.5
151,872.5,1127.5
152,872.5,1127.5
153,868.75,1131.25
154,883.75,1116.25
155,880.0,1120.0
156,880.0,1120.0
157,880.0,1120.0
158,895.0,1105.0
159,891.25,1108.75
160,891.25,1108.75
161,887.5,1112.5
162,887.5,1112.5
163,883.75,1116.25
164,898.75,1101.25
165,898.75,1101.25
166,898.75,1101.25
167,895.0,1105.0
168,891.25,1108.75
169,887.5,1112.5
170,883.75,1116.25
171,883.75,1116.25
172,883.75,1116.25
173,880.0,1120.0
174,876.25,1123.75
175,872.5,1127.5
176,868.75,1131.25
177,865.0,1135.0
178,865.0,1135.0
179,861.25,1138.75
180,857.5,1142.5
181,853.75,1146.25
182,850.0,1150.0
183,846.25,1153.75
184,846.25,1153.75
185,842.5,1157.5
186,838.75,1161.25
187,835.0,1165.0
188,831.25,1168.75
189,827.5,1172.5
190,827.5,1172.5
191,823.75,1176.25
192,820.0,1180.0
193,816.25,1183.75
194,812.5,1187.5
195,808.75,1191.25
196,808.75,1191.25
197,805.0,1195.0
198,805.0,1195.0
199,805.0,1195.0
200,805.0,1195.0
201,801.25,1198.75
202,801.25,1198.75
203,797.5,1202.5
204,797.5,1202.5
205,793.75,1206.25
206,793.75,1206.25
207,793.75,1206.25
208,793.75,1206.25
209,790.0,1210.0
210,805.0,1195.0
211,801.25,1198.75
212,801.25,1198.75
213,816.25,1183.75
214,816.25,1183.75
215,816.25,1183.75
216,816.25,1183.75
217,816.25,1183.75
218,816.25,1183.75
219,816.25,1183.75
220,816.25,1183.75
221,812.5,1187.5
222,808.75,1191.25
223,823.75,1176.25
224,820.0,1180.0
225,835.0,1165.0
226,835.0,1165.0
227,831.25,1168.75
228,831.25,1168.75
229,827.5,1172.5
230,842.5,1157.5
231,838.75,1161.25
232,835.0,1165.0
233,831.25,1168.75
234,831.25,1168.75
235,827.5,1172.5
236,823.75,1176.25
237,820.0,1180.0
238,820.0,1180.0
239,816.25,1183.75
240,831.25,1168.75
241,831.25,1168.75
